#timestep	summed_sq_end_to_end_distance	summed_sq_distance_of_cm	summed_auto_corr_ee_vector
24800	262.7634075	25.49984878	751.6075764
24900	177.8215941	28.95572919	637.8822632
25000	214.2784262	30.70306049	692.4355211
25100	220.5973413	28.18471179	658.9998493
25200	258.8965391	26.74452156	734.5365314
25300	240.9919792	31.16846597	680.4986591
25400	231.1196382	28.9248629	720.9572954
25500	324.1270274	31.21575733	849.2932701
25600	304.1802905	30.28521382	795.9764423
25700	352.5822748	31.58104925	879.2059174
25800	379.108985	30.98329691	890.7060871
25900	329.1265356	31.37823925	793.9382648
26000	342.892876	33.5443719	788.8088017
26100	465.95361	36.61666338	1009.127396
26200	448.0446347	34.56042433	966.7144623
26300	426.4028157	36.96559703	973.6805096
26400	473.8014411	36.82384157	942.2606316
26500	480.4048596	42.00767221	1040.461197
26600	490.157172	46.28946736	1063.859116
26700	478.463439	44.17491361	1047.060881
26800	541.9113822	46.07454526	1103.419834
26900	492.3019423	47.09378196	1073.088392
27000	503.5336034	44.00396183	1065.77
27100	537.6290654	44.52621484	1112.838087
27200	487.2360973	46.81149444	1067.779953
27300	436.8044663	50.03398157	1020.297838
27400	303.920841	49.75155601	847.4011707
27500	303.3889275	47.96202619	848.050251
27600	308.1660196	44.15516321	844.5551243
27700	402.3867981	43.98679941	950.002491
27800	521.1649081	48.20837537	1086.604309
27900	487.3173438	49.86032484	1074.190567
28000	530.1617834	48.17133727	1124.708733
28100	385.1034604	48.21433631	957.0867653
28200	337.2923619	46.41261488	899.0739422
28300	336.442611	47.58052281	897.281004
28400	459.7749556	45.44496133	1046.196188
28500	344.592575	49.51660684	906.0040073
28600	385.2584184	45.64872512	935.1200008
28700	482.873666	44.64530418	1075.544617
28800	515.798964	41.53005288	1110.686169
28900	457.0443717	46.61882776	1026.750603
29000	409.5297534	41.62809886	978.9876404
29100	420.631158	42.89283242	990.4112663
29200	359.3641641	47.33524465	923.7820778
29300	398.9665197	43.47829138	966.8755875
29400	348.7656896	46.04973436	883.0661926
29500	356.9152066	47.42251027	906.9532814
29600	340.8234277	43.91334196	881.0197906
29700	316.8744529	40.23857079	871.6806049
29800	340.26014	44.05997711	899.6332073
29900	346.2224458	43.6927625	911.6858196
30000	364.3516372	47.24309938	935.1017761
30100	393.9101312	45.25734592	965.0019932
30200	492.7456002	45.64060288	1066.424034
30300	356.5197776	48.49148227	913.8746548
30400	357.3822714	46.0673799	916.261158
30500	317.7437721	43.2952565	844.2299767
30600	335.6519442	43.20851719	841.10355
30700	375.1280824	43.72168042	905.100996
30800	341.5324142	41.93177335	860.5987625
30900	287.3246363	40.06556136	795.2912865
31000	296.9300045	39.94976706	752.3755379
31100	337.7506739	41.01916585	826.1328335
